	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0001	7.423908193891873	7.384416375280897	7.345198294329236	7.353998806206636
SCO0002	8.360432648265446	8.204874386819933	8.369863192911891	8.324974502342604
SCO0003	7.876026760057403	7.807711596743786	7.925707166222677	7.777616759325291
SCO0004	9.171677287288242	8.359185925551396	9.276912838323662	8.527638036489384
SCO0005	9.334648340742227	8.321380671576366	9.339420979963217	8.47146351329006
SCO0006	7.6513014488262305	7.2310294159268365	7.623095750251077	7.216193051548292
SCO0007	6.882270336846247	6.711768577739373	6.686825027652257	6.720325929561707
SCO0008	6.7037752161273145	6.7188307418415265	6.606491455780174	6.596979880237231
SCO0009	6.875943058519233	6.934070186790753	6.748228898535184	6.66464513517132
SCO0010	8.574771791696493	7.735626099487367	8.470740537609457	8.263111804402
SCO0011	7.91284871310128	7.636486365127477	7.917729948809743	7.790440036560696
SCO0012	8.000539649800055	7.8344070780654675	7.895919591379336	7.823483061799507
SCO0013	6.90857231424242	6.724203520058826	6.8622022185997835	6.75546580779508
SCO0014	7.128998218828446	7.023186755342953	7.16656990167321	7.011136244900406
SCO0015	6.643817933922463	6.945816998826747	6.631699080380003	6.733442558990493
SCO0016	6.840558315066443	6.870576324944107	6.735889701999444	6.825935847971141
SCO0017	6.982076250258774	6.9723195924602	7.09658181068987	7.0434073053073165
SCO0018	8.156511544509172	7.8379271096642995	8.172282990236774	8.173339641201006
SCO0019	7.290997996657514	7.198341961625886	7.1229464728555465	7.058216433527281
SCO0020	7.097953577396173	7.44084516070394	7.13781957962539	7.1660027114822
SCO0021	7.47445135858819	7.46908404675738	7.342733771618967	7.236428719958023
SCO0022	6.97385161302805	6.9659080707921035	6.892128731419951	6.8773686513904595
SCO0025	6.679463913247877	6.733363993079743	6.73983675788556	6.550142313634833
SCO0026	8.210660842296472	7.783471844127672	8.008633958263312	7.75504248532983
SCO0027	7.343896702639683	7.26137497035932	7.1783560022489	7.049094976804653
SCO0028	6.850384568754767	6.860695790262703	6.81870196913054	6.672206460739173
SCO0029	6.77161370272853	6.910389463949634	6.851168550604107	6.806637458078137
SCO0030	6.8211711860438875	7.0923484662377545	6.745659548327716	6.768149049155194
SCO0031	7.006741922154923	7.506200343452406	6.93363680870678	6.9283069688526835
SCO0033	6.901094969552247	7.244128975183526	6.8653974449330475	6.91036969357961
SCO0034	6.61988176267774	6.925417148714423	6.523525425461693	6.5746198143524195
SCO0035	6.696001138581207	6.8991772601074635	6.6752677870093295	6.758864002566599
SCO0036	6.8858695357359565	7.125694394706353	6.947156813648753	7.106254969511736
SCO0037	7.457494683444778	8.34404817499373	7.384348415849367	8.114616281673372
SCO0038	7.4081787498025164	7.8883242253099075	7.29521012936785	7.96601425678467
SCO0039	7.094180970127577	7.169739637759363	6.973661581706	7.130435789808793
SCO0040	6.84634334751177	7.17131670312057	6.9202682838439165	7.05667817931414
SCO0041	6.55998005105264	6.93578052318133	6.51490875645407	6.8914659892479735
SCO0042	6.8684106998710375	7.60233094655385	6.873422416888176	7.6409527469351035
SCO0043	7.255553879693937	9.421425235120143	7.183755214922557	9.45688637039931
SCO0044	6.826802785593091	6.926832189567627	6.64295643473449	6.820775346394817
SCO0045	6.4234206960654	6.526093844421493	6.498157849659776	6.47749969768272
SCO0046	7.235287454976646	7.457970461210363	7.313390774482631	7.31987977266488
SCO0047	8.111131556381437	8.354835576204023	8.271253304592625	8.421924346195127
SCO0048	6.629475284581236	7.11380489789735	6.64821067903805	6.9274596130592565
SCO0049	6.685149468351846	7.24067297685512	6.714825001262696	7.154130006570733
SCO0050	6.746571360518409	6.926314955980989	6.866495999633263	6.940133582731434
SCO0055	9.041321730515158	8.425730739620036	8.833460418419916	8.37063453291359
SCO0056	6.583770902807871	6.708804838063653	6.4706517136872295	6.629638756963033
SCO0057	7.409886425624646	7.3565351046814165	7.399934555692847	7.28500195855723
SCO0058	8.542594407892949	8.873183215216018	8.525464879859035	8.849205757507674
SCO0059	7.835529269543154	7.722493393201123	7.930345044237789	7.91911000044457
SCO0060	7.27610770708221	7.057021730097801	7.017091089584473	7.130259344017613
SCO0061	8.466559675589307	8.263500716558509	8.291215593652566	8.51417903700077
SCO0062	8.77251443470403	8.481648039235226	8.727600833689335	8.831980579610834
SCO0063	8.295603197654254	8.057596306168042	8.17309043083367	8.31855495583177
SCO0064	7.250130647663877	7.382171321291577	7.156590784539266	7.2865167977426735
SCO0065	6.973114284338856	7.1267479463446035	7.069327743426499	6.994900450514787
SCO0066	7.208495168699954	7.298937421026241	7.1222247198671065	7.10327086326348
SCO0067	7.08335253099208	7.1054991205433495	6.96528670366596	6.964781520873899
SCO0068	6.7517106742333866	7.065017403328636	6.786299329073763	6.94501334469022
SCO0069	7.324817360938684	7.772578051976123	7.469585302791483	7.502958689499949
SCO0070	6.760712785086583	7.110128087673126	6.7246273424536005	6.967050398899647
SCO0071	6.691217551557987	6.607302470054127	6.672730551119983	6.705598909776806
SCO0072	8.0862311204166	8.896069110300687	8.008688609326526	8.573218994213384
