Geneid	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0001	3	3	3	3
SCO0002	3	3	3	3
SCO0003	3	3	3	3
SCO0004	3	3	3	3
SCO0005	3	3	3	3
SCO0006	3	3	3	3
SCO0007	3	3	3	3
SCO0008	3	3	3	3
SCO0009	3	3	3	3
SCO0010	3	3	3	3
SCO0011	3	3	3	3
SCO0012	3	3	3	3
SCO0013	3	3	3	3
SCO0014	3	3	3	3
SCO0015	3	3	3	3
SCO0016	3	3	3	3
SCO0017	3	3	3	3
SCO0018	3	3	3	3
SCO0019	3	3	3	3
SCO0020	3	3	3	3
SCO0021	3	3	3	3
SCO0022	3	3	3	3
SCO0025	3	3	3	3
SCO0026	3	3	3	3
SCO0027	3	3	3	3
SCO0028	3	3	3	3
SCO0029	3	3	3	3
SCO0030	3	3	3	3
SCO0031	3	3	3	3
SCO0033	3	3	3	3
SCO0034	3	3	3	3
SCO0035	3	3	3	3
SCO0036	3	3	3	3
SCO0037	3	3	3	3
SCO0038	3	3	3	3
SCO0039	3	3	3	3
SCO0040	3	3	3	3
SCO0041	3	3	3	3
SCO0042	3	3	3	3
SCO0043	3	3	3	3
SCO0044	3	3	3	3
SCO0045	3	3	3	3
SCO0046	3	3	3	3
SCO0047	3	3	3	3
SCO0048	3	3	3	3
SCO0049	3	3	3	3
SCO0050	3	3	3	3
SCO0055	3	3	3	3
SCO0056	3	3	3	3
SCO0057	3	3	3	3
SCO0058	3	3	3	3
SCO0059	3	3	3	3
SCO0060	3	3	3	3
SCO0061	3	3	3	3
SCO0062	3	3	3	3
SCO0063	3	3	3	3
SCO0064	3	3	3	3
SCO0065	3	3	3	3
SCO0066	3	3	3	3
SCO0067	3	3	3	3
SCO0068	3	3	3	3
SCO0069	3	3	3	3
SCO0070	3	3	3	3
SCO0071	3	3	3	3
SCO0072	3	3	3	3
SCO0073	3	3	3	3
SCO0074	3	3	3	3
SCO0075	3	3	3	3
SCO0079	3	3	3	3
SCO0080	3	3	3	3
SCO0083	3	3	3	3
SCO0084	3	3	3	3
SCO0085	3	3	3	3
SCO0086	3	3	3	3
SCO0087	3	3	3	3
SCO0088	3	3	3	3
SCO0089	3	3	3	3
SCO0090	3	3	3	3
SCO0091	3	3	3	3
SCO0095	3	3	3	3
SCO0096	3	3	3	3
SCO0097	3	3	3	3
SCO0098	3	3	3	3
SCO0101	3	3	3	3
SCO0102	3	3	3	3
SCO0103	3	3	3	3
SCO0104	3	3	3	3
SCO0105	3	3	3	3
SCO0106	3	3	3	3
SCO0107	3	3	3	3
SCO0108	3	3	3	3
SCO0109	3	3	3	3
SCO0110	3	3	3	3
SCO0111	3	3	3	3
SCO0112	3	3	3	3
SCO0116	3	3	3	3
SCO0117	3	3	3	3
SCO0118	3	3	3	3
SCO0119	3	3	3	3
SCO0120	3	3	3	3
SCO0121	3	3	3	3
SCO0122	3	3	3	3
SCO0123	3	3	3	3
SCO0124	3	3	3	3
SCO0125	3	3	3	3
SCO0126	3	3	3	3
SCO0127	3	3	3	3
SCO0128	3	3	3	3
SCO0129	3	3	3	3
SCO0130	3	3	3	3
SCO0131	3	3	3	3
SCO0132	3	3	3	3
SCO0133	3	3	3	3
SCO0134	3	3	3	3
SCO0135	3	3	3	3
SCO0136	3	3	3	3
SCO0137	3	3	3	3
SCO0138	3	3	3	3
SCO0139	3	3	3	3
SCO0140	3	3	3	3
SCO0141	3	3	3	3
SCO0142	3	3	3	3
SCO0143	3	3	3	3
SCO0144	3	3	3	3
SCO0145	3	3	3	3
SCO0147	3	3	3	3
SCO0148	3	3	3	3
SCO0149	3	3	3	3
SCO0150	3	3	3	3
SCO0151	3	3	3	3
SCO0152	3	3	3	3
SCO0153	3	3	3	3
SCO0154	3	3	3	3
SCO0155	3	3	3	3
SCO0156	3	3	3	3
SCO0157	3	3	3	3
SCO0158	3	3	3	3
SCO0159	3	3	3	3
SCO0160	3	3	3	3
SCO0161	3	3	3	3
SCO0162	3	3	3	3
SCO0163	3	3	3	3
SCO0164	3	3	3	3
SCO0165	3	3	3	3
SCO0166	3	3	3	3
SCO0167	3	3	3	3
SCO0168	3	3	3	3
SCO0169	3	3	3	3
SCO0170	3	3	3	3
SCO0171	3	3	3	3
SCO0172	3	3	3	3
SCO0173	3	3	3	3
SCO0174	3	3	3	3
SCO0175	3	3	3	3
SCO0176	3	3	3	3
SCO0177	3	3	3	3
SCO0178	3	3	3	3
SCO0179	3	3	3	3
SCO0180	3	3	3	3
SCO0181	3	3	3	3
SCO0182	3	3	3	3
SCO0183	3	3	3	3
SCO0184	3	3	3	3
SCO0185	3	3	3	3
SCO0186	3	3	3	3
SCO0187	3	3	3	3
SCO0188	3	3	3	3
SCO0189	3	3	3	3
SCO0190	3	3	3	3
SCO0191	3	3	3	3
SCO0192	3	3	3	3
SCO0193	3	3	3	3
SCO0194	3	3	3	3
SCO0195	3	3	3	3
SCO0196	3	3	3	3
SCO0197	3	3	3	3
SCO0198	3	3	3	3
SCO0199	3	3	3	3
SCO0200	3	3	3	3
SCO0201	3	3	3	3
SCO0202	3	3	3	3
SCO0203	3	3	3	3
SCO0204	3	3	3	3
SCO0207	3	3	3	3
SCO0208	3	3	3	3
SCO0209	3	3	3	3
SCO0210	3	3	3	3
SCO0211	3	3	3	3
SCO0212	3	3	3	3
SCO0213	3	3	3	3
SCO0214	3	3	3	3
SCO0215	3	3	3	3
SCO0216	3	3	3	3
SCO0217	3	3	3	3
SCO0218	3	3	3	3
SCO0219	3	3	3	3
SCO0220	3	3	3	3
SCO0222	3	3	3	3
SCO0223	3	3	3	3
SCO0224	3	3	3	3
SCO0225	3	3	3	3
SCO0226	3	3	3	3
SCO0227	3	3	3	3
SCO0228	3	3	3	3
SCO0229	3	3	3	3
SCO0230	3	3	3	3
SCO0231	3	3	3	3
SCO0232	3	3	3	3
SCO0233	3	3	3	3
SCO0234	3	3	3	3
SCO0235	3	3	3	3
SCO0236	3	3	3	3
SCO0237	3	3	3	3
SCO0238	3	3	3	3
SCO0239	3	3	3	3
SCO0240	3	3	3	3
