	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0001	0.07095459061385843	0.10775330396944188	0.04521673419235074	0.07255054164156044
SCO0002	0.026229290353392408	0.05787126641039038	0.08653090699593302	0.03797077006507788
SCO0003	0.009645566352450464	0.03560339967745595	0.05216421286575791	0.06752937667218216
SCO0004	0.012243798456281107	0.09873884595688148	0.0829030929283543	0.034192358966524054
SCO0005	0.04012540451997974	0.0711180029462109	0.1324896563655193	0.03368051640117622
SCO0006	0.014951555491817304	0.03222928268995544	0.07088478975326097	0.06675884487457917
SCO0007	0.038704852150230444	0.02421668272535725	0.009161526052370726	0.07460545886615395
SCO0008	0.021752660569798257	0.09800845628048738	0.10108907866694002	0.02803818976778633
SCO0009	0.03931802799791839	0.039334638914403114	0.034052715672487785	0.05593414003576893
SCO0010	0.016772881039962998	0.07332342612126717	0.06685975961890553	0.017243768335112156
SCO0011	0.022586873590663838	0.01565669885186251	0.05089722713085211	0.016547276158476447
SCO0012	0.06214976726325736	0.010479713114635022	0.008868029987505969	0.005433759466963084
SCO0013	0.024469623290950905	0.044054741340998245	0.0458350647580522	0.020494477832301208
SCO0014	0.05674081373285832	0.04928934491515755	0.054789134848991554	0.019108765917644037
SCO0015	0.026399460683580487	0.02223570116601911	0.0257951981704475	0.029321179182703255
SCO0016	0.04415213912925076	0.009922435020098494	0.051619239834681016	0.020304126108509516
SCO0017	0.026645178754217874	0.04586161076709303	0.04699154313649758	0.08257689422259665
SCO0018	0.05466541519543028	0.0449436889874862	0.028036366690118702	0.054358211991745925
SCO0019	0.11085835054613476	0.05741353742640648	0.05035799258567319	0.05064680340949312
SCO0020	0.06002724554599351	0.060121878160560825	0.05122143409183161	0.03700136176369942
SCO0021	0.021541402639268906	0.0510188769240735	0.05674061984801424	0.09217572890029677
SCO0022	0.003705855819347414	0.06288647875819697	0.06417909140506367	0.06284404070882563
SCO0025	0.041922827062663155	0.024298232962503264	0.020583244313949596	0.06728829499320244
SCO0026	0.016112297158806483	0.05370529831797869	0.07426847843190693	0.03956675975678417
SCO0027	0.05938359900060871	0.047604760598279464	0.0014501040167421639	0.04625849723610686
SCO0028	0.039417257939389945	0.06439109954265924	0.04674259047084914	0.06280021831703594
SCO0029	0.06301682491632715	0.018425955416589465	0.010202296452820982	0.06304518891187956
SCO0030	0.05838773753251955	0.11519105072963856	0.06325982720944891	0.021872185694173887
SCO0031	0.014233151892749003	0.014576780971113168	0.04343260508265862	0.07339885803441043
SCO0033	0.07151070042705614	0.04383414346446	0.048492019639499666	0.08160168969811973
SCO0034	0.1037205735256818	0.046762458020148445	0.050290349072673955	0.006273728417793528
SCO0035	0.05366102997387544	0.020083745686434725	0.05714898049189871	0.01687255883054731
SCO0036	0.06717893049700632	0.03323320218489593	0.032712532598818844	0.07560087782508775
SCO0037	0.017775637900103215	0.055696880023248574	0.0483921712549426	0.07342815016531756
SCO0038	0.09297990237474188	0.11953566962614202	0.02145961008436783	0.028327123888438225
SCO0039	0.11248792822865913	0.06873654306372559	0.05447789429083083	0.026679176437667828
SCO0040	0.08987895843096094	0.08340763011329905	0.025099473339228354	0.09263159834430944
SCO0041	0.07076222266698513	0.0352858996922204	0.09148806038867008	0.06966728722510016
SCO0042	0.10236253257629013	0.037654582755248925	0.04556543764158344	0.07475715389976313
SCO0043	0.08243287327349706	0.04510438252585677	0.0415051085960051	0.04988628172556559
SCO0044	0.0803338405994432	0.034746473653234085	0.11020987271428345	0.08692371188628495
SCO0045	0.0	0.051691167807966294	0.07473715359437676	0.054079001617319974
SCO0046	0.06301284810348148	0.016433224748496483	0.0481023452113048	0.021963153013725017
SCO0047	0.014862704761079516	0.022643225802814602	0.08482942068646533	0.03639905141426577
SCO0048	0.10965912722387475	0.026984458417810865	0.03388115392423386	0.03962448781005684
SCO0049	0.01883144007789258	0.034986783694707334	0.023127876353928406	0.04339098367457244
SCO0050	0.03960406712920347	0.05174408020695538	0.04196374584452408	0.08839019804263372
SCO0055	0.05061180181575156	0.021411420302720908	0.08047387178851048	0.015335663179565199
SCO0056	0.08020066012927753	0.026913438442195604	0.04723101762182995	0.023629029405399977
SCO0057	0.03537693763930484	0.017452060732172946	0.04647527285692339	0.025004019398449276
SCO0058	0.025936596373807408	0.010836560249983796	0.03621497309178244	0.026497686389835226
SCO0059	0.047729255268083484	0.07052458937270684	0.036611665713418236	0.04628944973871773
SCO0060	0.06228388071265175	0.030507496279106695	0.08979043324294643	0.03443262113214465
SCO0061	0.05505689406018968	0.06822107685214998	0.07519444392512742	0.0283503941647474
SCO0062	0.06710700701980984	0.023937337777648365	0.050307787173542916	0.06896076477433778
SCO0063	0.008960522327564975	0.01834208105797905	0.026766407176223472	0.02943169074801173
SCO0064	0.04348101089948135	0.0617381936447993	0.04402642989529208	0.02150560914373607
SCO0065	0.04015006972179862	0.016610387277757238	0.018064826985249586	0.059297425887035356
SCO0066	0.03211422012848621	0.02773340862879534	0.030702353345805244	0.061777929737635816
SCO0067	0.05079579775198335	0.022758690518719964	0.011636461621445618	0.04722982982553531
SCO0068	0.01182178582023618	0.07152774676149998	0.06950650923943412	0.04703849599456581
SCO0069	0.022480558993015733	0.03189218562044494	0.0778522913645318	0.10324038710109074
SCO0070	0.046971444068888375	0.0026817872546354977	0.015340887575197117	0.05794920599535564
SCO0071	0.06564194753749412	0.09329261171848442	0.07050369834267936	0.08221837647131712
SCO0072	0.03244695253270814	0.0463963664665296	0.03687956230464765	0.02650503099436579
SCO0073	0.03527348967503323	0.03911901593308935	0.03856864284978028	0.03430614814029058
SCO0074	0.05755310926112323	0.06399696612134657	0.0	0.050282550067303276
SCO0075	0.0526094967316315	0.06150154725336259	0.05820520154449469	0.05398338001305505
SCO0079	0.062442449739262246	0.07950679958320774	0.057678948591608464	0.013189673471880672
SCO0080	0.02443601586863389	0.06312000788214232	0.06668090176302473	0.039316492712901
SCO0083	0.044141891260074846	0.06757220543967332	0.05778943875621559	0.024162079873368394
SCO0084	0.09968090183732971	0.03292474485151861	0.04655249519972084	0.06557901481824996
SCO0085	0.07343303200417743	0.009141494028814978	0.049613133184010734	0.027341698904298915
SCO0086	0.08436222386721588	0.04920090774351015	0.02941363337980384	0.017851893342705785
SCO0087	0.05631933623716446	0.0833222577934917	0.04402980905256921	0.0337634370186141
SCO0088	0.04749708491827324	0.010630821377911302	0.03523852997906557	0.08364355669565968
SCO0089	0.026494709464632348	0.01671595109100042	0.06385466159937982	0.009692450564623924
SCO0090	0.0903775939912392	0.03279100560709515	0.009455554431802857	0.003194265001212059
SCO0091	0.009594644816385299	0.022488246647990814	0.06489710148931656	0.007930230511204173
SCO0095	0.07993015211154807	0.02999993134510833	0.02738039536676464	0.049530366748957964
SCO0096	0.05293891010312301	0.005265052487193559	0.020698330862631984	0.03474505407260006
SCO0097	0.07192442387728935	0.02348773835333175	0.06983870911972641	0.040959213693701306
SCO0098	0.035261830979681476	0.031124655820574814	0.016837125117549978	0.04056747498707836
SCO0101	0.05197728899788917	0.03404206001933309	0.04522929918332471	0.052701710908465725
SCO0102	0.05553024613478481	0.018631189697079515	0.0398523420417659	0.029901807452633364
SCO0103	0.06640430418440404	0.034813972473263406	0.039443238480750875	0.04964712765535599
SCO0104	0.031123513140345692	0.017423981924625583	0.037918882135267916	0.04762456654134319
SCO0105	0.07687530134033022	0.015011302954867856	0.04968916407676513	0.02493628386695798
SCO0106	0.045125217301136535	0.06222533290539141	0.07091900889263775	0.04782216591228098
SCO0107	0.03026467357606528	0.06881081747108321	0.10330664768185538	0.016380705538196268
SCO0108	0.072750190053569	0.09688587553786493	0.07420625207359743	0.04992648303088722
SCO0109	0.02942735676925432	0.04220045550732402	0.01745158048190306	0.03154744034106548
SCO0110	0.017302943878318846	0.011050675015680208	0.03411262437203445	0.056715474367344434
SCO0111	0.031295909046064475	0.052528408854224606	0.05832314537875287	0.014664243542214747
SCO0112	0.072750190053569	0.03781926445240248	0.08082601271657239	0.050282550067303276
SCO0116	0.05793942492208801	0.042395110407137775	0.03066935925727629	0.025868489333035077
SCO0117	0.03371150973526796	0.04945494828573879	0.08416960597170065	0.029861482082705428
SCO0118	0.035453485159445804	0.022979222568330068	0.02299395086125833	0.04776580387773608
SCO0119	0.07095242753032865	0.019030464428928015	0.10208531215284579	0.052733242414430476
SCO0120	0.03383720568144026	0.030965460461101702	0.07640780491493926	0.03521072691139676
SCO0121	0.03689434609253594	0.07449850589021972	0.10773234964026346	0.062201071433433314
SCO0122	0.04294455479817354	0.0502292709025209	0.07313511656742783	0.029547927938187245
SCO0123	0.050825961602404914	0.06912998578482822	0.08526702418227596	0.06057078827825808
SCO0124	0.009113241949736109	0.009021387585815303	0.15800936293297985	0.07101376082154745
SCO0125	0.018572756138285774	0.020228021349497558	0.16988591018532587	0.038268791972650394
SCO0126	0.035046579924262446	0.03838183795246515	0.19952527492681568	0.040792411235657085
SCO0127	0.02917211051792969	0.031063618577178424	0.2223605147538405	0.026869123201828497
SCO0128	0.016790125718967205	0.0316962341548019	0.07480134379051652	0.026726610033328626
SCO0129	0.0061398935771106	0.01854985050376848	0.06735960630265775	0.049237416097549495
SCO0130	0.060574460223438396	0.0379673740577274	0.005964604714190925	0.048979396013768654
SCO0131	0.09469639441513612	0.05577402017376938	0.0512104081418136	0.03569068086209358
SCO0132	0.043650175355825695	0.05059534520334196	0.048042373897818826	0.0386452324469273
SCO0133	0.056046104563298324	0.0672880266638985	0.031324015025054205	0.0933002565924867
SCO0134	0.05912026572905027	0.039555496140850695	0.010157559026322633	0.03150457152954575
SCO0135	0.045451129072687904	0.052835919751496506	0.06106055912448551	0.0556799780957369
SCO0136	0.015537447001657389	0.026230267142528893	0.01927912994910414	0.00641925895145298
SCO0137	0.050223976555680915	0.04802741678890193	0.038206812137682185	0.03747648447473616
SCO0138	0.07740569408616034	0.05731731741869483	0.06101187179631644	0.08367441135186418
SCO0139	0.0666074139897909	0.11916941537698365	0.025460257066681345	0.04792841505094582
SCO0140	0.06479357764585489	0.037210240282896656	0.07600448338693029	0.05016765603786542
SCO0141	0.035114334668369614	0.09433211587206836	0.08547140820395016	0.011507553013177733
