	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0001	0.12289695597345257	0.1866341971584865	0.07831768097348836	0.1256612242398242
SCO0002	0.04543046353855188	0.1002359737211503	0.1498759273419732	0.0657673029552303
SCO0003	0.016706610990221017	0.06166689716353509	0.0903510670203308	0.116964311399676
SCO0004	0.021206881003912263	0.17102069787803553	0.14359236905651374	0.059222902960652926
SCO0005	0.06949923930285878	0.12317999443567038	0.22947881630242073	0.058336365631994076
SCO0006	0.02589685376401304	0.055822755110502956	0.12277605733648574	0.11562971117738025
SCO0007	0.06703877042364063	0.041944524871094305	0.01586822859757202	0.12922044527816862
SCO0008	0.03767671330669074	0.16975562584919715	0.1750914203414672	0.04856356923006374
SCO0009	0.06810082214581027	0.06812959309712209	0.05898103368044583	0.09688077241962424
SCO0010	0.02905148215052462	0.12699989942705772	0.11580450064178634	0.029867082870361644
SCO0011	0.039121612643165445	0.027118197890231177	0.08815658335500896	0.02866072303335436
SCO0012	0.10764655457854268	0.018151395563293742	0.015359878501404734	0.009411547472888441
SCO0013	0.04238263078199772	0.07630505031691401	0.0793886609291561	0.03549747688013976
SCO0014	0.09827797224811248	0.08537164966483957	0.09489756526119593	0.03309735343929999
SCO0015	0.045725207196378403	0.03851336416146363	0.044678593822522816	0.050785772082272924
SCO0016	0.0764737482347122	0.017186161589611306	0.0894071460417508	0.03516777802322423
SCO0017	0.046150803379060155	0.079434639965553	0.08139174023847837	0.14302737632477827
SCO0018	0.09468327653533298	0.07784475280589992	0.04856041156691727	0.09415118497830376
SCO0019	0.1920122955891864	0.0994431638647933	0.08722260172556277	0.08772283674619472
SCO0020	0.10397023912407334	0.10413414762055702	0.08871812628359295	0.06408823852396375
SCO0021	0.03731080383751205	0.08836728697759866	0.09827763642971173	0.1596530456800089
SCO0022	0.006418730564634511	0.1089225763182981	0.11116144709717732	0.10884907146061283
SCO0025	0.0726124664694561	0.04208577402520049	0.0356512249363639	0.11654674568290911
SCO0026	0.027907317305700494	0.09302030532238245	0.12863677804489612	0.06853163818962177
SCO0027	0.10285541060535068	0.08245386403837301	0.0025116538332571377	0.08012206749472156
SCO0028	0.06827269344607109	0.1115286559631109	0.08096054157289555	0.10877316885152391
SCO0029	0.109148342486751	0.03191469095953191	0.017670895810165673	0.10919747036815342
SCO0030	0.10113052794532013	0.19951675244097797	0.10956923480479361	0.03788373689489032
SCO0031	0.024652542230086404	0.025247725252771205	0.07522747870823898	0.12713055133313395
SCO0033	0.12386016642449862	0.07592296358670796	0.08399064177724125	0.1413382725406132
SCO0034	0.17964930313666427	0.08099495317770383	0.08710543972424566	0.010866416372507095
SCO0035	0.09294363030122868	0.03478606793519722	0.09898493781273117	0.029224129148202858
SCO0036	0.11635732081895327	0.05756159468244877	0.0566597685054074	0.13094456148985925
SCO0037	0.03078830797992571	0.09646982602333455	0.08381769930213473	0.12718128679212706
SCO0038	0.16104591499584703	0.2070418531092458	0.03716913497674252	0.04906401780707306
SCO0039	0.19483480693019894	0.11905518492301881	0.09435848080108547	0.04620968909413512
SCO0040	0.15567492253379545	0.14446625309514582	0.043473563066763976	0.16044263471865702
SCO0041	0.12256376491572031	0.06111697105770474	0.1584619688791062	0.12066728109936764
SCO0042	0.17729710721355882	0.06521965046989801	0.07892165306433391	0.12948318878363557
SCO0043	0.1427779247235835	0.07812308217880577	0.07188895686194458	0.0864055745493744
SCO0044	0.13914229348537505	0.06018265775125481	0.19088909903683782	0.15055628536952426
SCO0045	0.0	0.08953172894596637	0.12944854723853946	0.09366757842379768
SCO0046	0.10914145444485009	0.028463180196594193	0.08331570586919738	0.03804129691418123
SCO0047	0.025742959784085574	0.03921921753772947	0.1469288666055923	0.0630450063968201
SCO0048	0.1899351798654105	0.046738452994378094	0.058683880015834695	0.06863162611091209
SCO0049	0.03261701099459876	0.06059888695265546	0.040058656916174835	0.07515538831475116
SCO0050	0.0685962564541489	0.08962337590936582	0.07268333987862305	0.15309631390091671
SCO0055	0.08766221220748846	0.0370856678265244	0.13938483461948387	0.0265621477947702
SCO0056	0.1389116181444722	0.04661544278826016	0.08180652221419044	0.04092667946369177
SCO0057	0.061274653407471756	0.03022785588490124	0.08049753388381808	0.04330823199155194
SCO0058	0.04492350269484113	0.01876947293225323	0.06272617338970693	0.04589533911022095
SCO0059	0.08266949513174508	0.12215217197646032	0.06341326516536783	0.08017567880186499
SCO0060	0.10787884588687208	0.05284053356713127	0.15552159241040472	0.05963904923864433
SCO0061	0.09536133781918565	0.1181623712549848	0.1302405973252096	0.04910432310794672
SCO0062	0.11623274570219194	0.041460685228824845	0.08713564340093821	0.11944354831795913
SCO0063	0.01552007993369787	0.03176941630896642	0.046360777165295255	0.05097718372821117
SCO0064	0.07531132004235783	0.10693368816031835	0.07625601345451521	0.03724880768466869
SCO0065	0.06954196068558802	0.02877003469847123	0.03128919816839359	0.10270615439439523
SCO0066	0.055623460907989225	0.04803567281214263	0.05317803590686699	0.10700251309200547
SCO0067	0.08798090251742811	0.039419208292159065	0.02015494274866913	0.08180446489065907
SCO0068	0.02047593367684638	0.12388969154183818	0.12038880545945549	0.08147306497421311
SCO0069	0.038937470358452686	0.05523888585902819	0.13484412412902483	0.1788175958521677
SCO0070	0.08135692763219446	0.004644991780119336	0.02657119671344352	0.10037096904223096
SCO0071	0.11369518824271056	0.16158754346721063	0.1221159876510303	0.14240640536414678
SCO0072	0.056199770337426166	0.08036086400661417	0.06387727567255169	0.04590806033842939
SCO0073	0.061095476277413754	0.06775612313820718	0.06680284899479753	0.05941999159096783
SCO0074	0.09968490937382832	0.11084599685243642	0.0	0.08709193145069515
SCO0075	0.09112232129981454	0.10652380458692214	0.10081436633985129	0.09350195694690958
SCO0079	0.1081534954974682	0.13770981642531183	0.0999028694878192	0.022845184588540714
SCO0080	0.04232442101903323	0.1093270606260185	0.11549470974806796	0.06809816295415605
SCO0083	0.0764559984046302	0.11703849300099625	0.10009424406665537	0.04184994995721144
SCO0084	0.17265238652654089	0.05702733090907204	0.08063128690502276	0.1135861855755212
SCO0085	0.12718974238506672	0.015833532114995053	0.08593246739738805	0.04735721166749602
