ID	Label	log2FC	SE	pvalue	adj.pvalue	baseMean
SCO0001	mu_wt24	0.0589215479909496	0.165419671328611	0.433869910360226	0.737770190833426	39.5314644701977
SCO0002	mu_wt24	-0.0143867461731361	0.117993044897241	0.868120119949538	0.963384142099557	170.831383545097
SCO0003	mu_wt24	-0.0517121339362857	0.133274968574845	0.561732582792675	0.81701299129222	91.0253100578425
SCO0004	mu_wt24	-0.0940727837963283	0.117814815381368	0.293635027114362	0.618416968995346	319.709205259226
SCO0005	mu_wt24	-0.0119567949743399	0.115209654324428	0.888948216737173	0.968521580356052	338.868658690876
SCO0006	mu_wt24	0.0205937222712606	0.144765565901838	0.804961076284244	0.938951754490749	46.0427198029909
SCO0007	mu_wt24	0.0945422256278714	0.20854204061993	0.0337771012491028		4.84177038961963
SCO0008	mu_wt24	0.0130715309490762	0.173705695619531	0.621550383665116		2.81473716980815
SCO0009	mu_wt24	0.0656076742709397	0.186510004497753	0.154361657947601		6.69594312692277
SCO0010	mu_wt24	0.0979641437134259	0.123571587010165	0.286073667040396	0.610488549538508	167.485352977495
SCO0011	mu_wt24	-0.0037091775033848	0.125091921256906	0.962595989149751	0.99016603507078	87.0815571709389
SCO0012	mu_wt24	0.128652080973549	0.14337114042747	0.18835119482956	0.493669952097632	96.86188064209
SCO0013	mu_wt24	0.0210604175029883	0.169548589958834	0.659906866108891		6.63557654825441
SCO0014	mu_wt24	-0.0281659991410792	0.161851934985607	0.673207109585587	0.878504852060641	18.6358202507975
SCO0015	mu_wt24	0.003259041496981	0.172462948403889	0.906179334993456		4.84616519568105
SCO0016	mu_wt24	0.0513344154568803	0.179619850257434	0.256799484574971		6.68511089931497
SCO0017	mu_wt24	-0.0774229419628894	0.184880188753373	0.223517929962096	0.542688290230126	15.4494489098118
SCO0018	mu_wt24	-0.0134871064703563	0.12025405112608	0.877142508103763	0.966556692506355	128.746362961318
SCO0019	mu_wt24	0.143954412127937	0.231655158866067	0.0829027161818594	0.306159730859607	24.1963229670046
SCO0020	mu_wt24	-0.0274916817142577	0.160409891167506	0.688470083159187	0.887660627379582	27.3489861917457
SCO0021	mu_wt24	0.11300614728977	0.187414539572314	0.193548199283723	0.501143320446327	40.0502412633654
SCO0022	mu_wt24	0.0399143233084522	0.172585462825401	0.446163128288382		10.9212809135934
SCO0025	mu_wt24	-0.0191660893945076	0.173370706706482	0.556571185753562		3.02567748905984
SCO0026	mu_wt24	0.241474107645315	0.177658156924786	0.037998710397079	0.192687581506572	106.456732966643
SCO0027	mu_wt24	0.188103651068488	0.258213770790291	0.0656191316221257	0.271163597152599	26.7812751296742
SCO0028	mu_wt24	0.0134770446847036	0.170259393020687	0.75249899186606		6.39239002306628
SCO0029	mu_wt24	-0.0352665943105707	0.173808021626272	0.43294116368161		7.32602680634527
SCO0030	mu_wt24	0.0345854493479322	0.17483602605887	0.398710194375372		9.11567208358495
SCO0031	mu_wt24	0.0569275418652754	0.173875808080014	0.367861121489897	0.686463426812627	21.7569200226906
SCO0033	mu_wt24	0.0232155797681468	0.168846239205433	0.645692406281344	0.86419972249297	14.3569233859761
SCO0034	mu_wt24	0.038234651530968	0.179400648123658	0.143554983453301		3.68682984412185
SCO0035	mu_wt24	0.0077856695502919	0.171770600859136	0.819138840538985		5.08737970392184
SCO0036	mu_wt24	-0.0340185210865467	0.169589861827721	0.537301583874376	0.80468515120776	15.4447046550975
