""	"D24_1"	"D24_2"	"D24_3"	"C24_1"	"C24_2"	"C24_3"	"D45_1"	"D45_2"	"D45_3"	"C45_1"	"C45_2"	"C45_3"
"SCO0001"	7.53379186088729	7.29119845838266	7.44673426240567	7.33362761738015	7.27330964276033	7.42865762284723	7.59987389482439	7.27270433757299	7.28067089344531	7.20889776894865	7.42664941201588	7.42644923765538
"SCO0002"	8.33535525477687	8.41287460639514	8.33306808362433	8.21122429073054	8.38928216293072	8.50908312507441	8.31956008193962	8.16104612134807	8.13401695717211	8.40014592885962	8.27804637962226	8.29673119854593
"SCO0003"	7.87188776575942	7.89441380590188	7.86177870851091	7.8378243847783	7.9209579227745	8.01833919111523	7.75276432843769	7.8744077306266	7.79596273116707	7.89070657406477	7.65712913936965	7.78501456454145
"SCO0004"	9.15405472728005	9.1952132348941	9.16576389969058	9.12222776671314	9.30255271542652	9.40595803283133	8.19379533060177	8.34843314958782	8.5353292964646	8.58461564601069	8.46639993791932	8.53189852553814
"SCO0005"	9.25552239588391	9.38580691153391	9.36261571480886	9.15757429279059	9.2634330779583	9.59725556914076	8.22939016718244	8.27342582342647	8.46132602412019	8.4583189610933	8.42082086899341	8.53525070978347
"SCO0006"	7.65265607487568	7.67649440398864	7.62475386761437	7.54994347294831	7.55450288919648	7.76484088860844	7.20313568022152	7.29530157185049	7.1946509957085	7.08683297686564	7.2522425385013	7.30950363927794
"SCO0007"	6.95106129673953	6.87861651621777	6.81713319758144	6.69788487723141	6.66864360199165	6.69394660373371	6.70799883895297	6.67183616638916	6.75547072787599	6.81978028174295	6.57426834626731	6.76692916067486
"SCO0008"	6.66043943324375	6.72212013194534	6.72876608319285	6.4234206960654	6.62372455989661	6.77232911137851	6.91474618390552	6.62633444718962	6.61541159442944	6.65273789857179	6.57426834626731	6.56393339587259
"SCO0009"	6.79755257856385	6.90976043031253	6.92051616668132	6.81099077988861	6.73974931198323	6.69394660373371	7.01267380301504	6.89755137938437	6.89198537797285	6.65273789857179	6.57426834626731	6.76692916067486
"SCO0010"	8.54567589432152	8.60377865397045	8.57486082679751	8.33702390312976	8.53683818641902	8.53835952327959	7.86231942046863	7.60832182593514	7.73623705205833	8.25296130339498	8.23964291126509	8.29673119854593
"SCO0011"	7.92824270301886	7.86837170479808	7.9419317314869	7.93967697382337	7.82067316697249	7.99283970563337	7.65019412411369	7.65401423422826	7.60525073704048	7.79549707814901	7.81623565375122	7.75958737778186
"SCO0012"	8.12276867236634	7.91985909025725	7.95899118677658	7.88262740273236	7.89239641049228	7.91273496091337	7.85427551165316	7.81869296758975	7.83025275495349	7.82009366855706	7.81623565375122	7.83411986309024
"SCO0013"	6.8656081172277	6.90976043031253	6.95034839518703	6.92278095661413	6.89149658780671	6.77232911137851	6.65590303950917	6.71014853269825	6.80655898796906	6.74738461442605	6.72470566310595	6.79430714585324
"SCO0014"	7.16557274037214	7.01767715715828	7.20374475895492	7.07227924343088	7.26206294758301	7.16536751400574	7.09584781989601	7.04455020750162	6.92916223863123	7.04722231793464	7.00399189199242	6.98219452477416
"SCO0015"	6.59111238278648	6.66745257911446	6.67288883986645	6.58204183138879	6.66864360199165	6.64441180775957	6.98985492976254	6.91843382808647	6.92916223863123	6.70412851384864	6.79208491677736	6.70411424634548
"SCO0016"	6.83303382875372	6.76812494976429	6.92051616668132	6.74018611164386	6.8230711865949	6.64441180775957	6.88689303886898	6.85263595463039	6.87219998133295	6.78543433850639	6.84873481960919	6.84363838579784
"SCO0017"	6.97651092017043	6.9389604733001	7.03075735730579	7.15977565715959	7.12523037446706	7.00473940044296	7.05571617297575	6.89755137938437	6.96369122502048	7.04722231793464	6.89851058738194	7.18448901060537
"SCO0018"	8.10941785406857	8.26550756231751	8.09460921714144	8.13138702830385	8.15950818091202	8.22595376149445	7.85427551165316	7.75320649886693	7.90629931847281	8.27508260431835	8.08929101804008	8.15564530124459
"SCO0019"	7.3420180854195	7.45234735012546	7.07862855442758	7.19178059631405	7.15220185286957	7.02485696938302	7.20313568022152	7.29530157185049	7.09658863280565	6.95870781047618	7.12436652318792	7.09157496691774
"SCO0020"	7.14717010721239	7.16817732458395	6.97851330039218	7.09076659755313	7.08253986157967	7.24015227974337	7.54679884478371	7.33863130694418	7.43710533038393	7.20889776894865	7.09233150180999	7.19677886368796
"SCO0021"	7.48657856498777	7.50418990939773	7.43258560137907	7.45406767046997	7.30609485538627	7.26803878900066	7.47886877997648	7.55215173730251	7.37623162299315	7.20889776894865	7.09233150180999	7.40805688911543
"SCO0022"	6.97651092017043	6.96653061852154	6.97851330039218	6.99193976291012	6.91211731997122	6.77232911137851	6.91474618390552	7.09099265049794	6.89198537797285	6.88062245092124	6.98455434257528	6.76692916067486
"SCO0025"	6.71354563270201	6.59608002384877	6.72876608319285	6.77739844074747	6.70646654275663	6.73564529015258	6.70799883895297	6.71014853269825	6.78194460758801	6.65273789857179	6.57426834626731	6.4234206960654
"SCO0026"	8.18107105441461	8.21440351026111	8.23650796221369	7.86045475469278	8.0738009265991	8.09164619349806	7.87823261900066	7.77988727682704	7.69229563655532	7.71808481908731	7.71292277381194	7.83411986309024
"SCO0027"	7.23467086111833	7.43890172843042	7.3581175183703	7.17596344313324	7.17813272179156	7.1809718418219	7.33891834453093	7.17476074428968	7.27044582225735	7.12406238130739	7.05856297203294	6.96465957707363
"SCO0028"	6.8656081172277	6.90976043031253	6.77578515872407	6.89738943064414	6.8230711865949	6.73564529015258	6.96602646248119	6.74386092697397	6.87219998133295	6.58565770091736	6.63665453544692	6.79430714585324
