	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0001	0.015103661787540738	0.034832323548992815	0.0061336591530651	0.015790743277451384
SCO0002	0.002063927017327692	0.010047250427827132	0.022462793596616425	0.004325338138005045
SCO0003	0.0002791108507785737	0.0038028062057780115	0.008163315311712308	0.013680650141200377
SCO0004	0.00044973180191409484	0.029248079102690304	0.020618768451262044	0.0035073522350869135
SCO0005	0.004830144263676031	0.015173311029171785	0.05266052713156016	0.0034031315551496994
SCO0006	0.0006706470348746764	0.0031161799881271835	0.015073960255092033	0.013370230106964375
SCO0007	0.004494196739913595	0.0017593431666618488	0.00025180067882480257	0.016697923477888173
SCO0008	0.0014195347255945671	0.02881697250745261	0.030657005477192356	0.0023584202563631937
SCO0009	0.004637721976935282	0.004641641455579425	0.003478762334013885	0.009385884064623026
SCO0010	0.0008439886151422507	0.016128974454482775	0.01341068236889349	0.00089204263918505
SCO0011	0.0015305005758018825	0.0007353966568137387	0.007771583188828642	0.0008214370447946491
SCO0012	0.011587780712631167	0.0003294731608951597	0.00023592586757791535	8.85772258344328e-05
SCO0013	0.0017962873920031408	0.005822460703866778	0.006302559484124516	0.0012600708648560568
SCO0014	0.009658559829200768	0.007288318566496102	0.00900554789250294	0.0010954348046859426
SCO0015	0.0020907945731517353	0.0014832792190335108	0.001996176745957974	0.0025791946459925723
SCO0016	0.005848234169066147	0.000295364150184231	0.007993637763330957	0.0012367726110907734
SCO0017	0.0021298966525326703	0.0063098620264570296	0.006624615379047939	0.020456830378349743
SCO0018	0.008964922855466337	0.006059805539411664	0.002358113571548392	0.00886444563281877
SCO0019	0.036868721657429084	0.00988894283944013	0.007607782251776147	0.00769529608679953
SCO0020	0.010809810623516991	0.01084392070065996	0.007870905931271545	0.004107302317104472
SCO0021	0.001392096083001304	0.007808777407781277	0.009658493822210602	0.02548909499490301
SCO0022	4.120010206137327e-05	0.011864127631815474	0.012356867320738553	0.0118481203578376
SCO0025	0.005272570286777887	0.00177121237530024	0.0012710098394632151	0.013583143929276694
SCO0026	0.0007788183592010503	0.008652777202269254	0.01654742066577187	0.004696585432953225
SCO0027	0.010579235490795286	0.006798639694858502	6.308404978115274e-06	0.006419545699628718
SCO0028	0.0046611606703811995	0.012438641100937953	0.006554609291776548	0.011831602262002132
SCO0029	0.011913360667605092	0.0010185474990424277	0.00031226055873373075	0.011924087534803745
SCO0030	0.010227383682499175	0.039806934504594486	0.012005417215707994	0.0014351775211212743
SCO0031	0.0006077478384061935	0.0006374476304394209	0.00565917355279855	0.016162177082266607
SCO0033	0.015341340826704497	0.005764296399788583	0.007054427906152864	0.019976507284764657
SCO0034	0.03227387211748909	0.006560182440258436	0.007587357629554192	0.00011807900478069027
SCO0035	0.008638518413571473	0.0012100705223921562	0.009798017913790258	0.0008540497244708399
SCO0036	0.013539026108164817	0.0033133371823865147	0.0032103293670863566	0.017146478183771532
SCO0037	0.0009479199082667571	0.009306427332972435	0.007025406716303077	0.016175079710101275
SCO0038	0.025935786736849584	0.042866328938910514	0.001381544594919304	0.0024072778433727824
SCO0039	0.0379606019915279	0.014174137057054205	0.008903522899088814	0.0021353353661766306
SCO0040	0.024234681505903216	0.020870498283350733	0.001889950685719905	0.02574183903546441
SCO0041	0.015021876470315953	0.0037352841512683192	0.025110195581042827	0.014560592727913806
SCO0042	0.03143426422629617	0.004253602807415669	0.006228627322407085	0.01676589617757861
SCO0043	0.02038553578837328	0.00610321596911644	0.005168022118698529	0.0074659233132074974
SCO0044	0.01936057783637024	0.0036219522940046703	0.03643864813109567	0.022667195064269622
SCO0045	0.0	0.00801593048805399	0.016756926382168386	0.008773615247778288
SCO0046	0.011911857078337288	0.0008101526269037919	0.006941506844482611	0.0014471402709128945
SCO0047	0.0006626999784450471	0.0015381470242717468	0.021588091842003932	0.003974672831575089
SCO0048	0.036075372550505844	0.0021844829883076906	0.0034437977737128826	0.004710300102628029
SCO0049	0.0010638694062217765	0.0036722250999007156	0.0016046959939278018	0.005648332392741035
SCO0050	0.004705446399523364	0.008032349509391494	0.0052828678959114354	0.02343848133004802
SCO0055	0.0076846634491107395	0.0013753467581393071	0.019428132121900865	0.0007055476954712153
SCO0056	0.01929643765551566	0.0021729995063455563	0.006692307076780833	0.0016749930919237696
SCO0057	0.0037545831502057902	0.0009137232713983586	0.00647985296137644	0.001875602958234083
SCO0058	0.0020181210943733987	0.00035229311415458666	0.003934572828115578	0.002106382152042177
SCO0059	0.006834245425337624	0.014921153118566738	0.004021242198933253	0.0064281394713398225
SCO0060	0.011637845389883498	0.002792121987659126	0.02418696570586806	0.0035568161940894433
SCO0061	0.009093784750664847	0.013962345980600858	0.016962613191627392	0.00241123454788963
SCO0062	0.01351005117347042	0.0017189884196436946	0.007592620350895467	0.014266761234784636
SCO0063	0.0002408728811483713	0.0010092958126124213	0.002149321659370162	0.0025986732608597974
SCO0064	0.005671794926522448	0.01143481366356821	0.005814979587975206	0.0013874736739294335
SCO0065	0.004836084295995869	0.0008277148965512384	0.0009790139220210046	0.01054855415048535
SCO0066	0.0030939694033826058	0.002307425862515219	0.0028279035029120346	0.011449537808004801
SCO0067	0.0077406392077811895	0.001553873982380622	0.0004062217172021303	0.006691970476047072
SCO0068	0.00041926385993861165	0.01534865567033181	0.014493464479954619	0.006637860316292352
SCO0069	0.0015161265979153813	0.0030513345109467443	0.018182937812123857	0.031975732586349184
SCO0070	0.006618949673750126	2.15759486373762e-05	0.0007060284947845118	0.010074331426476485
SCO0071	0.012926595829545392	0.026110534203767688	0.014912314439986585	0.020279584288737697
SCO0072	0.0031584141859794463	0.006457868463889538	0.004080306347347165	0.002107550004036874
SCO0073	0.003732657221564027	0.0045908922227198955	0.004462620633821721	0.0035307354006706877
SCO0074	0.009937081156868364	0.012286835018210342	0.0	0.007585004523812582
SCO0075	0.008303277439066635	0.011347320943672773	0.01016353646050574	0.008742615952901732
SCO0079	0.011697178588320874	0.01896399353989308	0.009980583331900234	0.0005219024588844981
SCO0080	0.0017913566145963816	0.011952406185125126	0.013339027979790464	0.004637359797730791
SCO0083	0.005845519692048816	0.013698008843944249	0.010018857695275173	0.0017514183114211018
SCO0084	0.029808846573310073	0.0032521164706128033	0.006501404427960095	0.012901821553596742
SCO0085	0.016177230567979636	0.0002507007392365797	0.00738438895300316	0.0022427054969200214
SCO0086	0.021350954447466743	0.007262187968356189	0.002595485485804532	0.000956070287758029
SCO0087	0.009515602902584356	0.02082779593141526	0.005815872255617117	0.0034199090379297623
SCO0088	0.006767919227200977	0.00033904308950716776	0.003725261985256508	0.020988733730100108
SCO0089	0.0021059088888458364	0.0008382690626301541	0.01223225342391393	0.00028183079384303585
